taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2487348	Lichmera flavicans (Vieillot, 1817)	2487348	Lichmera flavicans (Vieillot, 1817)	86	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Meliphagidae	9319	Lichmera	2487337	Lichmera flavicans	2487348	LC
5846115	Hemixos cinereus (Blyth, 1845)	5846115	Hemixos cinereus (Blyth, 1845)	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Hemixos	2486186	Hemixos cinereus	5846115	LC
2493969	Dicrurus paradiseus (Linnaeus, 1766)	2493969	Dicrurus paradiseus (Linnaeus, 1766)	677	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Dicruridae	9310	Dicrurus	2493960	Dicrurus paradiseus	2493969	LC
2489005	Acridotheres tristis (Linnaeus, 1766)	2489005	Acridotheres tristis (Linnaeus, 1766)	4081	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Acridotheres	2489003	Acridotheres tristis	2489005	LC
2492851	Lanius vittatus Valenciennes, 1826	2492851	Lanius vittatus Valenciennes, 1826	88	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Laniidae	9315	Lanius	2483315	Lanius vittatus	2492851	LC
5231279	Ficedula hyperythra (Blyth, 1843)	5231279	Ficedula hyperythra (Blyth, 1843)	247	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Ficedula	2492596	Ficedula hyperythra	5231279	LC
2481800	Actitis hypoleucos (Linnaeus, 1758)	2481800	Actitis hypoleucos (Linnaeus, 1758)	5165	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Actitis	2481797	Actitis hypoleucos	2481800	LC
2490283	Anthus cervinus (Pallas, 1811)	2490283	Anthus cervinus (Pallas, 1811)	945	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Anthus	2490241	Anthus cervinus	2490283	LC
2480899	Egretta sacra (Gmelin, 1789)	2480899	Egretta sacra (Gmelin, 1789)	760	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Egretta	2480872	Egretta sacra	2480899	LC
7387276	Chrysocolaptes guttacristatus (Tickell, 1833)	7387276	Chrysocolaptes guttacristatus (Tickell, 1833)	143	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Chrysocolaptes	2478036	Chrysocolaptes guttacristatus	7387276	LC
2495486	Geopelia striata (Linnaeus, 1766)	2495486	Geopelia striata (Linnaeus, 1766)	370	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Geopelia	2495485	Geopelia striata	2495486	LC
6100934	Sturnornis albofrontatus (E.L.Layard, 1854)	6100934	Sturnornis albofrontatus (E.L.Layard, 1854)	19	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sturnornis	4844283	Sturnornis albofrontatus	6100934	VU
7891543	Pellorneum rostratum (Blyth, 1842)	2493245	Trichastoma rostratum Blyth, 1842	48	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pellorneidae	6100896	Trichastoma	2493242	Trichastoma rostratum	2493245	NT
2481521	Calonectris diomedea (Scopoli, 1769)	2481521	Calonectris diomedea (Scopoli, 1769)	30	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Calonectris	2481517	Calonectris diomedea	2481521	LC
4408790	Turdus atrogularis Jarocki, 1819	4408790	Turdus atrogularis Jarocki, 1819	86	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus atrogularis	4408790	LC
2489018	Sarcops calvus (Linnaeus, 1766)	2489018	Sarcops calvus (Linnaeus, 1766)	64	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sarcops	2489017	Sarcops calvus	2489018	LC
2474156	Coturnix coturnix (Linnaeus, 1758)	2474156	Coturnix coturnix (Linnaeus, 1758)	271	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Coturnix	8725725	Coturnix coturnix	2474156	LC
5232251	Otus bakkamoena Pennant, 1769	5232251	Otus bakkamoena Pennant, 1769	90	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Otus	2497654	Otus bakkamoena	5232251	LC
