taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7615196	Trachypithecus leucocephalus Tan, 1957	7615196	Trachypithecus leucocephalus Tan, 1957	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus leucocephalus	7615196	CR
2441360	Gavialis gangeticus (Gmelin, 1789)	2441360	Gavialis gangeticus (Gmelin, 1789)	85	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Crocodylia	11493978			Gavialidae	3238583	Gavialis	2441359	Gavialis gangeticus	2441360	CR
8539576	Indotestudo elongata (Blyth, 1854)	8539576	Indotestudo elongata (Blyth, 1854)	33	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Testudines	11418114			Testudinidae	9618	Indotestudo	2441436	Indotestudo elongata	8539576	CR
2443244	Mauremys sinensis (Gray, 1834)	2443244	Mauremys sinensis (Gray, 1834)	646	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Testudines	11418114			Geoemydidae	5463	Mauremys	9245902	Mauremys sinensis	2443244	CR
2429512	Micrixalus kottigeharensis (Rao, 1937)	2429512	Micrixalus kottigeharensis (Rao, 1937)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Micrixalidae	3088	Micrixalus	2429511	Micrixalus kottigeharensis	2429512	CR
4267166	Pygathrix nigripes (A.Milne-Edwards, 1871)	4267166	Pygathrix nigripes (A.Milne-Edwards, 1871)	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Pygathrix	2436527	Pygathrix nigripes	4267166	CR
2482154	Macrocephalon maleo S.Müller, 1846	2482154	Macrocephalon maleo S.Müller, 1846	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Megapodiidae	9318	Macrocephalon	2482153	Macrocephalon maleo	2482154	CR
2489068	Leucopsar rothschildi Stresemann, 1912	2489068	Leucopsar rothschildi Stresemann, 1912	82	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Leucopsar	2489067	Leucopsar rothschildi	2489068	CR
2480777	Pseudibis davisoni (Hume, 1875)	2480777	Pseudibis davisoni (Hume, 1875)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Threskiornithidae	5288	Pseudibis	2480776	Pseudibis davisoni	2480777	CR
2491518	Emberiza aureola Pallas, 1773	2491518	Emberiza aureola Pallas, 1773	245	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Emberiza	2491468	Emberiza aureola	2491518	CR
5707417	Pongo pygmaeus pygmaeus	5707417	Pongo pygmaeus pygmaeus	20	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Pongo	5219531	Pongo pygmaeus	5219532	CR
